Disease Term,Id,Description
"Leukodystrophy, Metachromatic",371,"Metachromatic leukodystrophy is a rare, genetic neurological disorder characterized by the buildup of fatty substances called sulfatides in the brain, leading to progressive deterioration of intellectual functions and motor skills."
Optic Atrophy,372,"It's a condition that involves damage to the optic nerve, leading to loss of vision or impaired visual function."
Blister,373,"A blister is a small pocket of body fluid (lymph, serum, plasma, blood, or pus) within the upper layers of the skin, typically caused by forceful rubbing (friction), burning, freezing, chemical exposure, or infection."
Neurocutaneous Syndromes,374,"Neurocutaneous syndromes are genetic disorders characterized by development abnormalities in skin, brain, and other organs leading to problems such as tumors, seizures, and intellectual impairment."
"Vasospasm, Intracranial",375,"Intracranial vasospasm is a condition characterized by the narrowing of the large arteries in the brain, leading to restricted blood flow and potentially resulting in a stroke."
Memory Disorders,376,"Memory disorders are conditions characterized by a person's inability to remember information or experiences, often as a result of damage to neuroanatomical structures that control memory."
Carotid Stenosis,377,"Carotid Stenosis is a narrowing of the carotid arteries, often due to a buildup of cholesterol and other substances, which can lead to stroke by limiting blood flow to the brain."
Sudden Infant Death,378,"Sudden Infant Death is an unexplained cause of death, usually during sleep, of a seemingly healthy baby less than a year old."
"Mammary Neoplasms, Experimental",379,These are tumors or cancerous growths in the breast tissue of experimental or laboratory animals.
Gastrointestinal Stromal Tumors,380,"These are rare, cancerous growths found in the digestive tract, predominantly in the stomach or small intestine, that originate from specialized cells residing in the gastrointestinal wall known as the interstitial cells of Cajal."
Glycogen Storage Disease Type III,381,"Glycogen Storage Disease Type III is a metabolic disorder that impairs the body's ability to process glycogen, resulting in excessive accumulation in tissues and organs, which can lead to variable symptoms including growth retardation, hypoglycemia, and muscle weakness."
Osteochondritis Dissecans,382,"Osteochondritis Dissecans is a joint condition that occurs when a small segment of bone begins to separate from its surrounding region due to a lack of blood supply, causing the bone and the cartilage covering it to crack and loosen."
Sinusitis,383,Sinusitis is an inflammation or swelling of the tissue lining the sinuses that leads to symptomatic infections when blocked with fluid.
Albinism,384,"Albinism is a group of inherited disorders characterized by significantly reduced or completely absent pigmentation (melanin) in the skin, hair, and eyes, often leading to vision problems."
Albuminuria,385,"Albuminuria is a health condition characterized by the presence of the protein albumin in the urine, often indicating kidney disease."
Gallstones,386,Gallstones are hardened deposits in the gallbladder that can range in size and often result in pain due to inflammation or blockage of bile ducts.
Glucose Intolerance,387,"It's a metabolic condition where the body cannot properly process glucose, often serving as a precursor to type 2 diabetes."
Meningocele,388,"Meningocele is a type of spina bifida where a sac of fluid protrudes from the spine, but without nerve tissue, exhibiting symptoms such as lower body weakness and bladder/bowel control issues."
Eosinophilia-Myalgia Syndrome,389,"Eosinophilia-Myalgia Syndrome is a complex, potentially deadly disorder characterized by elevated levels of eosinophils in the blood and severe muscle pain, often precipitated by ingestion of L-tryptophan dietary supplements."
Acidosis,390,"Acidosis is a condition involving an excess of acid in the body fluids, often resulting from the kidneys' inability to effectively remove acids from the body."
Rhabdomyolysis,391,"Rhabdomyolysis is a serious and potentially life-threatening condition that occurs when muscle tissue breaks down rapidly, leading to the release of harmful proteins into the bloodstream."
"Muscular Dystrophy, Emery-Dreifuss",392,"It's a genetic disorder characterized by muscle weakness and wasting, joint contractures, and heart problems, often leading to a shortened life span."
Gaucher Disease,393,"Gaucher Disease is a rare, inherited disorder that primarily affects the metabolism where there is a deficiency in the enzyme glucocerebrosidase, leading to the accumulation of harmful quantities of certain fats in the body's organs and tissues."
Hyperlipoproteinemias,394,"Hyperlipoproteinemias are disorders characterized by an excess of lipoproteins in the bloodstream, typically resulting in high cholesterol levels."
Hyponatremia,395,"It is a condition characterized by low sodium levels in the blood, often leading to impaired neurological function and potentially severe complications."
Anaphylaxis,396,"Anaphylaxis is a severe, potentially life-threatening allergic reaction that can occur rapidly, causing drop in blood pressure and difficulty in breathing."
Fetal Diseases,397,"Fetal diseases are disorders that occur in the developing baby during pregnancy, which can be either genetic, such as Down Syndrome or Spina Bifida, or environmental, such as those caused by drugs, alcohol or certain infections."
Failure to Thrive,398,"This condition is characterized by underdeveloped physical growth or an inability to gain weight or height in children, often due to malnutrition, developmental delays, or underlying medical problems."
Restless Legs Syndrome,399,"It's a neurological disorder characterized by an uncontrollable urge to move the legs, often accompanied by uncomfortable sensations, typically worsening in the evening or during inactivity."
Lissencephaly,400,"Lissencephaly is a rare, gene-linked brain malformation characterized by the absence of normal convolutions (folds) in the cerebral cortex and an abnormally small head (microcephaly)."
"Bone Diseases, Developmental",401,"Developmental bone diseases are conditions that occur due to abnormalities in growth, development, and/or maintenance of the bone structure, often leading to issues like deformities, fractures, or skeletal weaknesses."
"Ventricular Dysfunction, Left",402,This is a condition in which the left ventricle of the heart cannot pump blood efficiently to meet the body's needs due to damage or abnormal function.
Purpura Fulminans,403,"Purpura Fulminans is a severe and rapidly progressive condition characterized by widespread purpura due to disseminated intravascular coagulation, typically following an infection or sepsis."
Autoimmune Diseases,404,"These are conditions where the body's immune system mistakenly attacks its own healthy cells, causing inflammation and damage to various body parts."
Hemangiosarcoma,405,"Hemangiosarcoma is a rare and aggressive form of cancer that develops from the cells that line blood vessels, and, although it can occur anywhere in the body, it most commonly affects the spleen, Heart, and skin."
Sciatic Neuropathy,406,"It's a condition characterized by damage to the sciatic nerve, resulting in pain, numbness or weakness in the lower back, hips, and legs."
Cystinosis,407,"Cystinosis is a rare, genetic metabolic condition that causes an accumulation of the amino acid cystine in various organs and tissues, potentially leading to serious health complications including kidney failure."
"Neuroectodermal Tumors, Primitive",408,"Primitive neuroectodermal tumors are rare, highly malignant tumors usually found in the central nervous system and primarily affecting children and young adults, characterized by rapidly growing cells that arise from primitive (developing) nerve cells in the brain."
Maxillary Diseases,409,"These are conditions affecting the maxilla, or upper jaw, which can include deformities, injuries, infections, tumors, and other disorders."
Catalepsy,410,"Catalepsy is a neurological condition characterized by sudden and sustained immobility or stasis, often accompanied by fixed postures and a decreased responsiveness to external stimuli."
"Cystadenocarcinoma, Papillary",411,"Papillary cystadenocarcinoma is a rare malignant tumor characterized by cysts lined with papillary structures, often found in the salivary glands."
Autistic Disorder,412,"Autistic Disorder is a neurodevelopmental condition characterized by challenges with social interaction, communication, along with restricted and repetitive behavior."
"Leukemia, Lymphocytic, Chronic, B-Cell",413,Chronic B-Cell Lymphocytic Leukemia is a slow-progressing blood and bone marrow disease where too many immature white blood cells (lymphocytes) are produced and interfere with the normal functioning of the immunity.
Pseudarthrosis,414,"Pseudarthrosis is a condition where an intended bone fracture fails to heal and function as a healthy, stable bone due to unsuccessful surgery, injury, or disease."
Mandibulofacial Dysostosis,415,"Mandibulofacial Dysostosis is a genetic disorder characterized by underdeveloped facial bones, including the jaw and cheekbones, usually accompanied by ear deformities and hearing loss."
Diabetes Insipidus,416,An uncommon disorder characterized by intense thirst and frequent urination due to the body's inability to regulate fluid balance often as a result of insufficient anti-diuretic hormone (ADH) production or kidneys not responding properly to it.
Mycobacterium Infections,417,"Mycobacterium Infections are bacterial infections caused by Mycobacterium species, which can result in a variety of diseases, ranging from tuberculosis and leprosy to non-tuberculous mycobacterial infections."
Cardiomegaly,418,"Cardiomegaly is a condition characterized by an enlarged heart, often due to high blood pressure or heart disease, which can lead to serious complications such as heart failure if not treated."
"Hyperbilirubinemia, Hereditary",419,"This is a genetic disorder characterized by elevated levels of bilirubin in the blood due to the body's inability to properly metabolize or excrete this bile pigment, potentially causing jaundice or other complications."
Chondrosarcoma,420,This is a type of cancer that specifically affects the cartilage cells in the body.
Psychomotor Disorders,421,"Psychomotor disorders are conditions that influence the coordination between cognition and physical movement, often resulting in impaired mobility."
Heart Failure,422,"Heart failure is a chronic, progressive condition in which the heart muscle is unable to pump enough blood to meet the body's needs for blood and oxygen."
"Fibromatosis, Gingival",423,"Fibromatosis, Gingival is a rare oral condition characterized by overgrowth of the gum tissue that is often associated with hyperpigmentation of the skin and growth abnormalities."
Osteochondrodysplasias,424,Osteochondrodysplasias refers to a group of disorders characterized by the abnormal growth and development of bone and cartilage.
Hypohidrosis,425,"A condition characterized by diminished sweat production which can impair body's ability to cool down, leading to overheating."
Arteriosclerosis,426,"Arteriosclerosis is a cardiovascular disease characterized by the hardening and loss of elasticity in the artery walls, often due to fat, cholesterol, and other substance buildup."
Piebaldism,427,"Piebaldism is a rare autosomal dominant disorder of melanocyte development characterized by a congenital white forelock and multiple symmetrical, stable hypomelanotic patches on the skin."
Tachycardia,428,"Tachycardia is a condition characterized by an abnormally fast resting heart rate, typically over 100 beats per minute."
Drug Eruptions,429,Drug eruptions are adverse skin reactions caused by medication.
Agricultural Workers' Diseases,430,"These are illnesses contracted as a result of an individual's work in agriculture, often due to exposure to pesticides, dangerous machinery, and various infectious agents."
Anus Neoplasms,431,"These are abnormal growths, either benign or malignant, that develop in the cells of the anal canal or around the anal opening."
Protein C Deficiency,432,Protein C Deficiency is a rare genetic condition that increases the risk of developing abnormal blood clots due to a lack of protein C - an anticoagulant protein that prevents clotting.
"Dermatitis, Contact",433,"A skin condition that occurs when an individual comes in direct touch with a certain substance that causes an allergic reaction, resulting in red, itchy, and inflamed skin."
Cerebrovascular Disorders,434,"These are conditions that develop due to problems with blood vessels supplying the brain, often resulting in strokes or mini-strokes."
"Anemia, Megaloblastic",435,"Megaloblastic Anemia is a blood disorder characterized by the presence of abnormally large, immature red blood cells (megaloblasts), typically caused by a deficiency of folic acid or vitamin B12."
Hypersensitivity,436,"It is an exaggerated or inappropriate immune response to an allergen, causing inflammation or damage to the body's own tissues."
Multiple Endocrine Neoplasia Type 1,437,"It's a rare hereditary disorder characterized by the growth of tumors in the endocrine (hormone-producing) glands, often affecting the parathyroid glands, pituitary gland, and pancreas."
Chediak-Higashi Syndrome,438,"Chediak-Higashi Syndrome is a rare, autosomal recessive disorder characterized by immune system abnormalities, partial albinism and neurological complications."
Thyroid Diseases,439,"Thyroid diseases encompass a variety of conditions impacting the thyroid gland which may lead to abnormal production of thyroid hormones, potentially causing a wide range of symptoms such as fatigue, weight changes, depression, and heart problems."
Dermatitis,440,"Dermatitis is an inflammatory skin condition that is characterized by symptoms such as itchiness, redness, and skin rash."
"Epilepsy, Frontal Lobe",441,"This is a neurological disorder characterized by repeated seizures that originate in the frontal lobe of the brain, leading to symptoms such as motor abnormalities,mood disorders, and cognitive dysfunction."
Back Pain,442,"Back pain is discomfort or stiffness often caused by muscle strain, nerve damage, degenerative disc disease, arthritis, or injuries, typically in the lower back region."
Atrial Fibrillation,443,"Atrial Fibrillation is a heart condition characterized by irregular and often rapid heartbeat which can increase the risk of strokes, heart failure, and other cardiac complications."
Polyhydramnios,444,Polyhydramnios is a condition characterized by an excessive amount of amniotic fluid surrounding the fetus during pregnancy.
Leukocyte Disorders,445,"Leukocyte Disorders are a group of disorders that affect the production and function of white blood cells, impairing the body's immune response."
Epidermolysis Bullosa,446,"Epidermolysis Bullosa is a rare genetic disorder that causes the skin to become extremely fragile, resulting in severe blistering and skin erosion from minor injuries or friction."
"Panniculitis, Nodular Nonsuppurative",447,"Nodular Nonsuppurative Panniculitis is an inflammatory condition characterized by tender, red nodules or eruptions primarily on the legs and arms which are caused by the inflammation of fat underneath the skin."
"Dementia, Vascular",448,Vascular dementia is a decline in cognitive skills due to reduced blood flow to parts of the brain usually caused by a stroke or small vessel disease.
Phenylketonurias,449,"Phenylketonurias is a rare genetic disorder where the body cannot break down the amino acid phenylalanine, leading to harmful build-ups in the brain and nervous system and causing intellectual and developmental problems."
Diabetes Complications,450,"Diabetes Complications are health problems that can arise due to prolonged high blood glucose levels, including heart disease, stroke, kidney disease, vision issues, and nerve damage."
Neurotic Disorders,451,"Neurotic disorders are a category of mental health issues that primarily involve intense feelings of anxiety, distress, or irritability, but without major disruptions in perception of reality."
Ulcer,452,"Ulcers are open sores that can form on the skin, mucous membranes, or the lining of the stomach or intestines due to a break in the skin or mucous membranes allowing air and bacteria to invade and disrupt normal function."
Dyslexia,453,Dyslexia is a learning disorder characterized by difficulty in reading due to problems identifying speech sounds and learning how they relate to letters and words.
"Neovascularization, Pathologic",454,"Pathologic neovascularization is a condition characterized by abnormal formation of new blood vessels typically in response to injury or disease, often leading to further complications like vision loss or tumor growth."
Hyperaldosteronism,455,"Hyperaldosteronism is a condition characterized by the overproduction of aldosterone hormone from the adrenal glands, leading to high blood pressure and low potassium levels."
Pulmonary Emphysema,456,"It is a type of chronic obstructive pulmonary disease (COPD) characterized by damage to the air sacs (alveoli) in the lungs, leading to shortness of breath and reduced lung capacity."
Hydrops Fetalis,457,"Hydrops Fetalis is a severe, generally fatal condition in which abnormal amounts of fluid build up in two or more body areas of a fetus or newborn."
Headache,458,"A headache is a condition characterized by pain in any region of the head, often caused by various factors like stress, tension, sinus problems, or migraines."
Ataxia,459,"Ataxia is a neurological disorder characterized by a lack of muscle coordination during voluntary movements, potentially affecting speech, eye movements, and the ability to swallow, walk, and pick up objects."
Endotoxemia,460,"Endotoxemia refers to a condition where endotoxins, typically from bacterial origin, are present in the blood, leading to systemic inflammation and multi-organ dysfunction."
"Muscular Dystrophy, Oculopharyngeal",461,"Oculopharyngeal muscular dystrophy is a genetic condition characterized by muscle weakness that typically begins in adulthood and worsens over time, primarily involving the muscles of the eyelid, throat, and limbs."
"Carcinoma, Medullary",462,Medullary carcinoma is a type of cancer that begins in specific cells of the thyroid gland and may produce excessive amounts of certain hormones.
Unverricht-Lundborg Syndrome,463,"Unverricht-Lundborg Syndrome is a rare inherited neurological disorder characterized by severe, progressive myoclonus epilepsy, typically presenting in childhood or adolescence."
Colonic Polyps,464,"Colonic polyps are small clumps of cells that form on the lining of the colon, which can develop into colon cancer over time."
"Malaria, Falciparum",465,"Falciparum Malaria is a severe form of mosquito-borne infectious disease caused by Plasmodium falciparum that is often associated with high levels of parasites in the blood and can lead to organ damage, and is potentially life-threatening, if untreated."
Menkes Kinky Hair Syndrome,466,"It is a rare genetic disorder causing impaired copper absorption and distribution, leading to severe developmental delay, distinct hair abnormalities, weakness, and health deterioration."
"Scleroderma, Systemic",467,"Systemic scleroderma is an autoimmune disorder characterized by hardening and tightening of the skin and connective tissues, which can involve various internal organs and systems, often leading to severe complications."
Papillomavirus Infections,468,"A sexually transmitted infection caused by human papillomavirus (HPV) which can lead to genital warts, respiratory papillomatosis and different types of cancer."
Endometrial Hyperplasia,469,"Endometrial Hyperplasia is a condition characterized by an excessive proliferation of the cells of the endometrium, or lining of the uterus."
"Carotid Artery, Internal, Dissection",470,"This is a condition where a tear in the inner lining of the carotid artery allows blood to seep between the layers of the artery, causing blockage, reduced blood flow, and potentially a stroke."
Urogenital Neoplasms,471,"Urogenital neoplasms are growths or tumours that arise in the urinary and genital system, which may be benign or malignant."
Neurodegenerative Diseases,472,"These are a variety of conditions which primarily affect the neurons in the human brain, leading to the progressive loss of structure or function of neurons, including death of neurons."
Reperfusion Injury,473,Reperfusion Injury is tissue damage caused when blood supply returns to the tissue after a period of ischemia or lack of oxygen.
Peripheral Vascular Diseases,474,"These are conditions that cause the blood vessels outside of your heart and brain to narrow, block, or spasm, often in your legs, but also in your arms or stomach and intestines."
Gout,475,"Gout is a form of inflammatory arthritis characterized by sudden, severe attacks of pain, swelling, redness, and tenderness often in the joint at the base of the big toe."
Growth Disorders,476,"Growth disorders are conditions that result in abnormal growth in children, either too much or too little, often due to problems with the pituitary gland, thyroid gland, or the genetic codes involved in growth."
Pneumothorax,477,"Pneumothorax is a condition characterized by the presence of air or gas in the cavity between the lungs and the chest wall, causing the lung to collapse."
"Diabetes Insipidus, Nephrogenic",478,"It's a kidney disorder characterized by the kidneys' inability to concentrate urine, resulting in intense thirst and the production of large amounts of diluted urine."
"Diabetes, Gestational",479,"Gestational diabetes is a type of diabetes that only pregnant women develop, which affects how cells use sugar (glucose) and often results in high blood sugar levels."
Muscle Weakness,480,"Muscle Weakness, also known as Myasthenia, is a condition characterized by the progressive loss of muscle strength, often due to neurological, muscular, or metabolic disorders."
"Limb Deformities, Congenital",481,"This disease involves physical abnormalities of the arms, legs, hands, or feet that are present from birth."
Mouth Abnormalities,482,"Mouth Abnormalities refer to a wide range of conditions that involve deformities, growth issues, or structural problems in and around the mouth area, including the lips, tongue, teeth, palate, and jawline."
"Aneurysm, Dissecting",483,"Dissecting aneurysm is a life-threatening condition characterized by a tear in the inner layer of the large blood vessel branching off the heart (aorta), causing blood to flow between the layers of the vessel wall, leading to its potential rupture."
Bone Resorption,484,"Bone Resorption is a natural process in which osteoclasts break down the tissue in bones and release the minerals, resulting in a transfer of calcium from bone tissue to the blood."
Choroid Diseases,485,"Choroid diseases are disorders affecting the vascular layer of the eye, between the retina and the sclera, leading to visual disturbances and potential vision loss."
Pneumococcal Infections,486,"This is a type of bacterial infection caused by Streptococcus pneumoniae that can lead to various conditions such as pneumonia, meningitis, ear and sinus infections, and bloodstream infections."
Ureteral Neoplasms,487,"Ureteral Neoplasms are abnormal growths, malignant or benign, occurring within the ureter, a tube that carries urine from the kidney to the bladder."
Polycythemia,488,"Polycythemia is a rare health disorder that results in an overproduction of red blood cells, which can thicken the blood and potentially lead to clots, heart attack, or stroke."
Cataract,489,"A condition leading to a clouding of the lens in the eye which affects vision, often related to aging."
Hyperpigmentation,490,"It's a common, usually harmless condition where patches of skin become darker in color than the normal surrounding skin due to an excess of melanin, the brown pigment that produces normal skin color."
Cerebral Amyloid Angiopathy,491,"Cerebral Amyloid Angiopathy is a neurological condition in which proteins build up on the walls of the arteries in the brain, potentially leading to a variety of symptoms including hemorrhage and dementia."
Lesch-Nyhan Syndrome,492,"Lesch-Nyhan Syndrome is a genetic disorder characterized by cognitive impairment, motor dysfunction, and self-mutilating behaviors due to an enzyme deficiency that causes overproduction of uric acid."
Gastrointestinal Neoplasms,493,"These are abnormal growths, either malignant (cancerous) or benign (non-cancerous), that develop in any part of the gastrointestinal tract, including the esophagus, stomach, colon, rectum, and anus."
Carcinoid Tumor,494,"It is a slow-growing type of neuroendocrine tumor, originating in the cells of the neuroendocrine system, that can occur in the lungs, stomach, intestines, appendix or pancreas."
Hematologic Neoplasms,495,"Hematologic Neoplasms are cancers that affect the blood, bone marrow, and lymph nodes, often disrupting the production and function of blood cells."
Prader-Willi Syndrome,496,"It is a genetic disorder that causes intellectual disability, behavioral problems, and uncontrolled appetite, leading to severe obesity."
"Enterocolitis, Necrotizing",497,"Necrotizing enterocolitis is a severe bacterial infection in the intestine, primarily affecting premature or sick newborns, which can lead to inflammation and death of intestinal tissue."
Personality Disorders,498,"A broad range of conditions characterized by enduring, inflexible patterns of thought, feeling, and behavior that significantly differ from cultural expectations, cause distress or impairment, and manifest in at least two areas: cognition, emotion, interpersonal functioning, or impulse control."
Polycythemia Vera,499,"Polycythemia Vera is a slow-growing blood cancer where your bone marrow makes too many red blood cells, which can thicken your blood and cause clots."
Waardenburg's Syndrome,500,"A genetic disorder causing hearing loss and changes in coloring (pigmentation) of the hair, skin, and eyes."
Carotid Artery Diseases,501,"These are conditions often caused by atherosclerosis, characterized by the narrowing or blockage of carotid arteries which can lead to strokes or transient ischemic attacks."
Cerebral Hemorrhage,502,"It is a type of stroke caused by a ruptured blood vessel bleeding into brain tissue, often resulting in brain damage or death."
"Hamartoma Syndrome, Multiple",503,"Multiple Hamartoma Syndrome, also known as Cowden Syndrome, is a rare genetic disorder characterized by the growth of hamartomas, benign, tumor-like formations, in various parts of the body and an increased risk of developing certain types of cancer."
Iron Metabolism Disorders,504,"Iron Metabolism Disorders are a group of conditions characterized by irregularities in the processing and distribution of iron in the body, which can lead to either iron deficiency or overload."
Glaucoma,505,"Glaucoma is a group of eye conditions that damage the optic nerve, often due to abnormally high pressure within the eye, which can result in vision loss or blindness if left untreated."
"Hypertrophy, Left Ventricular",506,"This is the thickening of the left ventricle of the heart often due to elevated blood pressure or heart disease, subsequently increasing the muscle mass to manage the excessive workload."
"Leukemia, Myeloid",507,"Myeloid Leukemia is a form of blood cancer originating in the bone marrow, resulting in the overproduction of abnormal white blood cells which negatively impact normal blood function."
Disseminated Intravascular Coagulation,508,"This is a serious disorder where the proteins responsible for blood clotting become overly active, leading to blood clots and bleeding which can cause damage to organs and potentially become life-threatening."
Cranial Nerve Diseases,509,"Cranial Nerve Diseases are disorders that interfere with the function of the twelve pairs of nerves that arise directly from the brain and affect functions such as smell, vision, facial sensations, and movement of eyes, neck, and tongue."
Trismus,510,Trismus is a condition that restricts the mouth's normal opening movement due to spasming of the muscles used for chewing.
Ehlers-Danlos Syndrome,511,"It's a group of inherited disorders affecting connective tissues, predominantly skin, joints, and blood vessel walls, characterized by overly flexible joints, stretchy skin, and a high risk of organ and vessel damage."
De Lange Syndrome,512,"De Lange Syndrome, also known as Cornelia de Lange Syndrome, is a genetic disorder characterized by slow growth in the prenatal and postnatal stages, intellectual disability, skeletal abnormalities, and distinctive facial features."
Hyperammonemia,513,"Hyperammonemia is a metabolic disturbance characterized by an excess amount of ammonia in the blood, which can cause neurologic abnormalities and potentially lethal brain damage."
Fetal Death,514,"Fetal Death refers to the loss of a pregnancy after 20 weeks of gestation, often attributed to genetic abnormalities, maternal health complications, or problems with the placenta or cord."
Hypopigmentation,515,Hypopigmentation is a condition characterized by patches of skin becoming lighter than the normal surrounding skin due to reduced melanin production.
Femoral Fractures,516,"These are breakages in the femur bone, located in the thigh, usually resulting from high-impact trauma or osteoporosis in older adults."
"Sarcoma, Ewing's",517,"Ewing's Sarcoma is a rare type of cancer primarily affecting young people that forms in bone or soft tissue including cartilage and nerves, primarily in the legs, pelvis, ribs, arms or spine."
Fabry Disease,518,"Fabry disease is a genetic disorder characterized by the buildup of a particular type of fat, called globotriaosylceramide, in the body's cells, leading to symptoms like pain, kidney dysfunction and heart disease."
Stevens-Johnson Syndrome,519,"Stevens-Johnson Syndrome is a rare, serious disorder of the skin and mucous membranes, usually a reaction to a medication or an infection, that often begins with flu-like symptoms followed by a red or purplish rash that spreads and blisters."
"Porphyria, Variegate",520,"Variegate Porphyria is a rare genetic disorder characterized by skin rash or blisters in sun-exposed areas, and acute neurological attacks such as abdominal pain, vomiting, and mental disturbances."
Apnea,521,Apnea is a sleep disorder characterized by pauses in breathing or instances of shallow or infrequent breathing during sleep.
Laryngeal Neoplasms,522,"These are abnormal growths, either benign or malignant, that develop in the larynx (voice box)."
Bloom Syndrome,523,"An inherited disorder characterized by short stature, sun-sensitive skin changes, an increased risk of cancer, and problems with the immune system."
Persistent Fetal Circulation Syndrome,524,"A rare condition where a newborn's circulation system doesn't adapt to breathing outside the womb, causing high pressure in the lungs and low oxygen levels."
Cockayne Syndrome,525,"Cockayne Syndrome is a rare and progressive genetic disorder characterized by growth failure, impaired development of the nervous system, abnormal sensitivity to sunlight (photosensitivity), and premature aging."
Carpal Tunnel Syndrome,526,"Carpal Tunnel Syndrome is a common condition that causes pain, numbness, and tingling in the hand and arm due to a pinched nerve in the wrist."
"Wounds, Penetrating",527,"These are injuries that occur when an object pierces the skin and enters a tissue in the body, creating an open wound."
"Carcinoma, Adenoid Cystic",528,"Adenoid Cystic Carcinoma is a rare form of cancer that commonly occurs in the salivary glands, but can also appear in the breast, skin, and other parts of the body, and is characterized by slow growth but high potential for recurrence and metastasis."
Dyskeratosis Congenita,529,"It is a rare, inherited disorder that leads to progressive failure of certain bones, skin, and organs in the body, often observed through symptoms such as nail abnormalities, skin discoloration, and white patches inside the mouth."
"Skin Diseases, Vesiculobullous",530,Vesiculobullous skin diseases are characterized by the presence of blisters or vesicles that are filled with fluid on the skin.
Hypoventilation,531,Hypoventilation is a respiratory condition wherein inadequate ventilation leads to an increased concentration of carbon dioxide and decreased levels of oxygen in the blood.
Ischemia,532,"Ischemia is a condition characterized by inadequate blood supply to a local area due to blockage of blood vessels leading to that particular area, often resulting in pain and damage to tissues or organs."
Synovitis,533,"Synovitis is an inflammation of the synovial membrane that lines joints, often leading to pain, swelling, and difficulty moving the joint."
Tauopathies,534,Tauopathies are a class of neurodegenerative diseases associated with the pathological aggregation of tau protein in the brain.
Spinal Cord Diseases,535,"Spinal Cord Diseases are disorders that lead to malfunction of the spinal cord due to various causes such as trauma, tumors, infections, degenerative changes, or disturbances of blood supply."
Thoracic Diseases,536,"These are disorders affecting the region of the body involving the chest, including the lungs and heart."
"Blindness, Cortical",537,"Cortical Blindness is a visual impairment caused by damage to the brain's occipital cortex, where individuals may not be aware that they are unable to see."
Kartagener Syndrome,538,"Kartagener Syndrome is a rare, genetic disorder characterized by the combination of sinusitis, bronchiectasis, and situs inversus (a condition in which the normal left-right asymmetry of body organs is reversed)."
Cytomegalovirus Infections,539,"This is a viral infection that can cause fever, sore throat, fatigue, and swollen glands, and is especially serious for pregnant women and individuals with weak immune systems."
Pyruvate Dehydrogenase Complex Deficiency Disease,540,"It is a rare genetic disorder characterized by the body's inability to convert certain food elements (like proteins and sugars) into energy, resulting in a buildup of lactic acid and a variety of neurological problems."
"Skin Diseases, Vascular",541,"Vascular skin diseases are disorders that affect the blood vessels in the skin, which can cause symptoms like redness, swelling, pain, or abnormal growths."
Neuralgia,542,It is an intense burning or stabbing pain caused by irritation or damage to the nerves.
"Neoplasm Recurrence, Local",543,This is a condition where growths or tumors that were previously treated and removed have returned in the same local area.
Huntington Disease,544,"Huntington Disease is a hereditary and progressive brain disorder that impairs one's ability to walk, talk, think, and reason, usually appearing in a person's thirties or forties."
Fibrosarcoma,545,Fibrosarcoma is a malignant tumor derived from fibrous connective tissue characterized by the presence of immature proliferating fibroblasts or undifferentiated anaplastic spindle cells.
Dry Eye Syndromes,546,"These syndromes are characterized by the eyes' inability to stay adequately lubricated, leading to discomfort, visual issues, and potential damage."
"Osteoarthritis, Knee",547,"It's a degenerative joint disease that predominantly affects the knee, causing pain and stiffness resulting from the wear and tear of cartilage and the body's unsuccessful attempts at self-repair."
Williams Syndrome,548,"Williams Syndrome is a genetic condition characterized by medical problems, including cardiovascular disease, developmental delays, and learning disabilities along with unique personality characteristics, distinctive facial features, and a love for music."
Hemorrhagic Disorders,549,Hemorrhagic Disorders are conditions characterized by abnormal bleeding due to deficiencies in the body's clotting mechanisms.
Rheumatoid Nodule,550,"This is a firm bump of tissue under the skin, commonly associated with severe rheumatoid arthritis, and typically found around pressure points such as the elbows."
Klinefelter Syndrome,551,"It is a genetic condition in males characterized by an extra X chromosome, leading to symptoms like lower testosterone levels, reduced muscle mass, infertility, and breast tissue development."
Magnesium Deficiency,552,"Magnesium Deficiency is a health condition characterized by insufficient amounts of magnesium in the body which could lead to various complications such as muscle spasms, cardiovascular disease, diabetes, high blood pressure, anxiety disorders, migraines, osteoporosis, and cerebral infarction."
"Kidney Diseases, Cystic",553,Cystic kidney diseases are disorders marked by the presence of fluid-filled sacs or segments affecting renal function and potentially leading to kidney failure.
"Spasms, Infantile",554,"Infantile spasms, also known as West Syndrome, is a rare and severe type of epilepsy in infants characterized by repetitive but irregular contractions that primarily occur during the first year of life."
Blood Protein Disorders,555,"Blood Protein Disorders are conditions characterized by the production of either too much or too little of certain proteins in the blood, affecting the blood's ability to function and often leading to abnormal blood clotting or bleeding."
"Hypoxia, Brain",556,"Hypoxia, Brain is a condition where there is a decrease or lack of oxygen supply to the brain, potentially leading to brain damage or death."
Fibrous Dysplasia of Bone,557,"Fibrous Dysplasia of Bone is a rare condition where fibrous tissue develops in place of normal bone, leading to irregular growths or lesions, fracture and deformity, and potential pain."
Afibrinogenemia,558,"Afibrinogenemia is a rare, genetic disorder that results in the complete absence of fibrinogen - a critical protein required for blood clotting."
Rothmund-Thomson Syndrome,559,"Rothmund-Thomson Syndrome is a rare genetic condition characterized by skin rashes, small stature, skeletal abnormalities, premature aging, and increased risk of certain types of cancer."
Fragile X Syndrome,560,"Fragile X Syndrome is a genetic condition characterized by intellectual disability, behavioral and learning challenges, and physical traits such as large ears, elongated face, and flexible fingers."
